Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility,Corrected.Mark
hb,hb29,sgi11,NA,da4,2020,18/08/2020,2,wv,r,5595189,NA,m,NA,,NA,,,,,,NA,,1,0,0,NA,NA,NA,NA,,,,1,0,0,1,1,1,2,6,5595189
hb,hb29,sgi11,NA,dal,2020,19/08/2020,3,wv,r,5595189,NA,m,NA,,NA,,,,,,NA,,0,0,0,NA,NA,NA,NA,,,,0,0,1,0,0,0,2,3,5595189
hb,hb32,sgi0810,NA,cl33,2020,19/08/2020,3,wv,r,5600182,NA,f,100,bl,0,,,np,closed,N,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5600182
vc,vc08,led01,NA,x25,2020,27/07/2020,2,wv,r,10872452,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10872452
vc,elb03,led01,NA,p63,2020,28/07/2020,2,wv,r,5664242,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5664242
vc,vc09,led01,NA,cl81,2020,28/07/2020,2,wv,r,10871987,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,Kinky tail returns!,NA,NA,NA,NA,NA,NA,NA,0,10871987
vc,vc10,led0708,NA,cl78,2020,28/07/2020,2,wv,r,10875950,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10875950
vc,hb4,led11,NA,blank,2020,31/07/2020,3,wv,r,5675037,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5675037
vc,hb9,cro0708,NA,x4,2020,02/08/2020,2,wv,r,5597589,NA,,230,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,Vole with half tail missing,NA,NA,NA,NA,NA,NA,NA,0,5597589
vc,gp212,cro0708,NA,cl43,2020,03/08/2020,3,wv,r,5597753,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5597753
vc,Tag_not_Found,cro0708,NA,blank,2020,03/08/2020,3,wv,r,10864501,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,was marked with hair clipping rh. Put new pit tag in: 10864501,NA,NA,NA,NA,NA,NA,NA,0,10864501
vc,hb9,cro0708,NA,x4,2020,03/08/2020,3,wv,r,5597589,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5597589
vc,hb6,cro0708,NA,b19,2020,03/08/2020,3,wv,r,10863945,NA,m,180,bl,2,head,s,NA,NA,NA,NA,NA,0,7,0,0,1,1,1,m,lm,fully processed the recapture as escaped the last time after pit tagging,1,1,1,1,2,2,2,10,10863945
