"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"148",148,148,"vc","vc03","sgi39",NA,"cl78",2020,"2020-07-20",1,"wv","n","10502190",NA,"m",85,"bl",2,"head","ns",NA,NA,NA,NA,NA,0,1,1,0,1,1,1,"m","xl","",0,0,1,0,1,2,1,5,"10502190"
"149",149,149,"vc","vc04","sgi39",NA,"p26",2020,"2020-07-20",1,"wv","n","566138",NA,"m",65,"bl",2,"head","ns",NA,NA,NA,NA,NA,0,1,0,0,1,1,1,"m","xl","",1,1,1,0,0,2,1,6,"566138"
"150",150,150,"vc","vc05","sgi44",NA,"da8",2020,"2020-07-20",1,"wv","n","5668018",NA,"f",245,"bl",1,"head",NA,"p","open","Y",2,"N",0,0,1,0,0,1,1,"m","xl","",1,0,1,0,1,1,1,5,"5668018"
"151",151,151,"vc","vc06","sgi44",NA,"f09",2020,"2020-07-20",1,"wv","n","10504883",NA,"f",130,"bl",1,"head",NA,"p","closed","N",1,"N",0,2,0,0,1,1,1,"m","xl","",1,1,1,1,2,2,2,10,"10504883"
"152",152,152,"vc","vc07","led01",NA,"blank",2020,"2020-07-27",1,"wv","n","10847528",NA,"m",130,"bl",1,"head","ms",NA,NA,NA,NA,NA,0,2,0,0,1,1,0,"m","lm","",1,1,1,1,2,1,1,8,"10847528"
"153",153,153,"vc","vc08","led01",NA,"cl25",2020,"2020-07-27",1,"wv","n","10872452",NA,"f",110,"bl",0,NA,NA,"np","closed","N",1,"N",0,3,0,0,1,1,1,"m","lm","",0,1,1,1,1,1,1,6,"10872452"
"154",154,154,"vc","vc09","led01",NA,"cl81",2020,"2020-07-27",1,"wv","n","10871987",NA,"m",125,"bl",1,"head","ms",NA,NA,NA,NA,NA,1,2,3,15,1,1,1,"m","lm","Had a kinky tail and broken toe, poor mr vole ",1,0,1,1,2,1,1,7,"10871987"
"155",155,155,"vc","vc10","led0708",NA,"da4",2020,"2020-07-27",1,"wv","n","10875950",NA,"m",125,"bl",0,NA,"ms",NA,NA,NA,NA,NA,2,2,0,0,1,0,0,NA,NA,"",1,1,1,1,2,1,2,9,"10875950"
"156",156,156,"vc","vc11","led0708",NA,"cl78",2020,"2020-07-27",1,"fv","n",NA,"ls,lh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"escaped ",NA,NA,NA,NA,NA,NA,NA,0,NA
"157",157,157,"vc","","led01",NA,"x25",2020,"2020-07-27",2,"wv","r","10872452",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10872452"
